cmbLocation,tiName,cmbMake,cmbModel,cmbCabinet,cmbUPosition,ip_idrac,ip_base,power,power measurement
MA2 > CAGE 15A,MA2-ANESTEROVA02.PULSE.PROD,Dell Inc.,PowerEdge R640,A-01,19,10.31.16.31,10.30.16.31,307,W
MA2 > CAGE 15A,MA2-DATALAKE-ALLUXIO-MASTER01.PULSE.PROD,Dell Inc.,PowerEdge R640,A-01,18,10.31.52.21,10.30.52.21,277,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-MASTER01.PULSE.PROD,Dell Inc.,PowerEdge R640,A-05,19,10.31.53.21,10.30.53.21,322,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-MASTER02.PULSE.PROD,Dell Inc.,PowerEdge R640,A-07,19,10.31.53.22,10.30.53.22,287,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER01.PULSE.PROD,Dell Inc.,PowerEdge R650,A-01,12,10.31.53.23,10.30.53.23,596,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER02.PULSE.PROD,Dell Inc.,PowerEdge R650,A-02,21,10.31.53.24,10.30.53.24,603,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER03.PULSE.PROD,Dell Inc.,PowerEdge R650,A-04,13,10.31.53.25,10.30.53.25,595,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER04.PULSE.PROD,Dell Inc.,PowerEdge R650,A-05,12,10.31.53.26,10.30.53.26,588,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER05.PULSE.PROD,Dell Inc.,PowerEdge R650,A-06,19,10.31.53.27,10.30.53.27,592,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER06.PULSE.PROD,Dell Inc.,PowerEdge R650,A-06,15,10.31.53.28,10.30.53.28,583,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER07.PULSE.PROD,Dell Inc.,PowerEdge R650,A-06,12,10.31.53.29,10.30.53.29,585,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER08.PULSE.PROD,Dell Inc.,PowerEdge R650,A-08,21,10.31.53.30,10.30.53.30,582,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER09.PULSE.PROD,Dell Inc.,PowerEdge R650,A-08,16,10.31.53.31,10.30.53.31,587,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER10.PULSE.PROD,Dell Inc.,PowerEdge R650,A-09,12,10.31.53.32,10.30.53.32,592,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER11.PULSE.PROD,Dell Inc.,PowerEdge R650,A-10,18,10.31.53.33,10.30.53.33,583,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER12.PULSE.PROD,Dell Inc.,PowerEdge R650,A-04,22,10.31.53.34,10.30.53.34,618,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER13.PULSE.PROD,Dell Inc.,PowerEdge R650,A-04,18,10.31.53.35,10.30.53.35,622,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER14.PULSE.PROD,Dell Inc.,PowerEdge R650,A-19,18,10.31.53.36,10.30.53.36,607,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER15.PULSE.PROD,Dell Inc.,PowerEdge R650,A-19,13,10.31.53.37,10.30.53.37,600,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER16.PULSE.PROD,Dell Inc.,PowerEdge R650,A-02,18,10.31.53.38,10.30.53.38,583,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER17.PULSE.PROD,Dell Inc.,PowerEdge R650,A-02,13,10.31.53.39,10.30.53.39,606,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER18.PULSE.PROD,Dell Inc.,PowerEdge R650,A-04,21,10.31.53.40,10.30.53.40,574,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER19.PULSE.PROD,Dell Inc.,PowerEdge R650,A-07,12,10.31.53.41,10.30.53.41,581,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER20.PULSE.PROD,Dell Inc.,PowerEdge R650,A-08,19,10.31.53.42,10.30.53.42,592,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER21.PULSE.PROD,Dell Inc.,PowerEdge R650,A-08,13,10.31.53.43,10.30.53.43,614,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER22.PULSE.PROD,Dell Inc.,PowerEdge R650,A-10,21,10.31.53.44,10.30.53.44,588,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER23.PULSE.PROD,Dell Inc.,PowerEdge R650,A-10,16,10.31.53.45,10.30.53.45,601,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER24.PULSE.PROD,Dell Inc.,PowerEdge R650,A-10,12,10.31.53.46,10.30.53.46,604,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER25.PULSE.PROD,Dell Inc.,PowerEdge R650,A-14,12,10.31.53.47,10.30.53.47,608,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER26.PULSE.PROD,Dell Inc.,PowerEdge R650,A-18,13,10.31.53.48,10.30.53.48,598,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER27.PULSE.PROD,Dell Inc.,PowerEdge R650,A-19,19,10.31.53.49,10.30.53.49,627,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER28.PULSE.PROD,Dell Inc.,PowerEdge R650,A-19,21,10.31.53.50,10.30.53.50,611,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER29.PULSE.PROD,Dell Inc.,PowerEdge R650,A-14,13,10.31.53.51,10.30.53.51,628,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER30.PULSE.PROD,Dell Inc.,PowerEdge R650,A-16,12,10.31.53.52,10.30.53.52,618,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER31.PULSE.PROD,Dell Inc.,PowerEdge R650,A-19,22,10.31.53.53,10.30.53.53,610,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER32.PULSE.PROD,Dell Inc.,PowerEdge R650,A-19,15,10.31.53.54,10.30.53.54,632,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER33.PULSE.PROD,Dell Inc.,PowerEdge R650,A-19,12,10.31.53.55,10.30.53.55,611,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER34.PULSE.PROD,Dell Inc.,PowerEdge R650,A-03,12,10.31.53.56,10.30.53.56,609,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER35.PULSE.PROD,Dell Inc.,PowerEdge R650,A-04,16,10.31.53.57,10.30.53.57,583,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER36.PULSE.PROD,Dell Inc.,PowerEdge R650,A-06,22,10.31.53.58,10.30.53.58,586,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER37.PULSE.PROD,Dell Inc.,PowerEdge R650,A-06,18,10.31.53.59,10.30.53.59,596,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER38.PULSE.PROD,Dell Inc.,PowerEdge R650,A-06,16,10.31.53.60,10.30.53.60,589,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER39.PULSE.PROD,Dell Inc.,PowerEdge R650,A-08,22,10.31.53.61,10.30.53.61,587,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER40.PULSE.PROD,Dell Inc.,PowerEdge R650,A-08,18,10.31.53.62,10.30.53.62,600,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER41.PULSE.PROD,Dell Inc.,PowerEdge R650,A-08,12,10.31.53.63,10.30.53.63,578,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER42.PULSE.PROD,Dell Inc.,PowerEdge R650,A-10,19,10.31.53.64,10.30.53.64,692,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER43.PULSE.PROD,Dell Inc.,PowerEdge R650,A-10,15,10.31.53.65,10.30.53.65,614,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER44.PULSE.PROD,Dell Inc.,PowerEdge R650,A-11,12,10.31.53.66,10.30.53.66,608,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER45.PULSE.PROD,Dell Inc.,PowerEdge R650,A-16,13,10.31.53.67,10.30.53.67,590,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER46.PULSE.PROD,Dell Inc.,PowerEdge R650,A-08,15,10.31.53.68,10.30.53.68,583,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER47.PULSE.PROD,Dell Inc.,PowerEdge R650,A-18,15,10.31.53.69,10.30.53.69,596,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER48.PULSE.PROD,Dell Inc.,PowerEdge R650,A-02,19,10.31.53.70,10.30.53.70,601,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER49.PULSE.PROD,Dell Inc.,PowerEdge R650,A-02,16,10.31.53.71,10.30.53.71,607,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER50.PULSE.PROD,Dell Inc.,PowerEdge R650,A-02,15,10.31.53.72,10.30.53.72,584,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER51.PULSE.PROD,Dell Inc.,PowerEdge R650,A-04,19,10.31.53.73,10.30.53.73,590,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER52.PULSE.PROD,Dell Inc.,PowerEdge R650,A-06,21,10.31.53.74,10.30.53.74,587,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER53.PULSE.PROD,Dell Inc.,PowerEdge R650,A-10,22,10.31.53.75,10.30.53.75,597,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER54.PULSE.PROD,Dell Inc.,PowerEdge R650,A-18,12,10.31.53.76,10.30.53.76,581,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER55.PULSE.PROD,Dell Inc.,PowerEdge R650,A-02,12,10.31.53.77,10.30.53.77,583,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER56.PULSE.PROD,Dell Inc.,PowerEdge R650,A-04,12,10.31.53.78,10.30.53.78,589,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER57.PULSE.PROD,Dell Inc.,PowerEdge R650,A-06,13,10.31.53.79,10.30.53.79,603,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER58.PULSE.PROD,Dell Inc.,PowerEdge R650,A-10,13,10.31.53.80,10.30.53.80,642,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER59.PULSE.PROD,Dell Inc.,PowerEdge R650,A-19,16,10.31.53.81,10.30.53.81,608,W
MA2 > CAGE 15A,MA2-DATALAKE-HADOOP-WORKER60.PULSE.PROD,Dell Inc.,PowerEdge R650,A-04,15,10.31.53.82,10.30.53.82,599,W
MA2 > CAGE 15A,MA2-DATALAKE-KAFKA00.PULSE.PROD,Dell Inc.,PowerEdge R750,A-16,4,10.31.40.21,10.30.40.21,453,W
MA2 > CAGE 15A,MA2-DATALAKE-KAFKA01.PULSE.PROD,Dell Inc.,PowerEdge R750,A-01,6,10.31.40.22,10.30.40.22,440,W
MA2 > CAGE 15A,MA2-DATALAKE-KAFKA02.PULSE.PROD,Dell Inc.,PowerEdge R750,A-01,4,10.31.40.23,10.30.40.23,463,W
MA2 > CAGE 15A,MA2-DATALAKE-KAFKA03.PULSE.PROD,Dell Inc.,PowerEdge R750,A-07,6,10.31.40.24,10.30.40.24,443,W
MA2 > CAGE 15A,MA2-DATALAKE-KAFKA04.PULSE.PROD,Dell Inc.,PowerEdge R750,A-05,4,10.31.40.25,10.30.40.25,442,W
MA2 > CAGE 15A,MA2-DATALAKE-KAFKA05.PULSE.PROD,Dell Inc.,PowerEdge R750,A-07,4,10.31.40.26,10.30.40.26,449,W
MA2 > CAGE 15A,MA2-DATALAKE-KAFKA06.PULSE.PROD,Dell Inc.,PowerEdge R750,A-11,4,10.31.40.27,10.30.40.27,446,W
MA2 > CAGE 15A,MA2-DATALAKE-KAFKA07.PULSE.PROD,Dell Inc.,PowerEdge R750,A-14,4,10.31.40.28,10.30.40.28,455,W
MA2 > CAGE 15A,MA2-DATALAKE-KAFKA08.PULSE.PROD,Dell Inc.,PowerEdge R750,A-03,6,10.31.40.29,10.30.40.29,440,W
MA2 > CAGE 15A,MA2-DATALAKE-KAFKA09.PULSE.PROD,Dell Inc.,PowerEdge R750,A-03,4,10.31.40.30,10.30.40.30,440,W
MA2 > CAGE 15A,MA2-DATALAKE-KAFKA10.PULSE.PROD,Dell Inc.,PowerEdge R750,A-05,6,10.31.40.31,10.30.40.31,440,W
MA2 > CAGE 15A,MA2-DATALAKE-KAFKA11.PULSE.PROD,Dell Inc.,PowerEdge R750,A-16,6,10.31.40.32,10.30.40.32,437,W
MA2 > CAGE 15A,MA2-DATALAKE-KAFKA12.PULSE.PROD,Dell Inc.,PowerEdge R750,A-09,6,10.31.40.33,10.30.40.33,453,W
MA2 > CAGE 15A,MA2-DATALAKE-KAFKA13.PULSE.PROD,Dell Inc.,PowerEdge R750,A-14,6,10.31.40.34,10.30.40.34,436,W
MA2 > CAGE 15A,MA2-DATALAKE-KAFKA14.PULSE.PROD,Dell Inc.,PowerEdge R750,A-11,6,10.31.40.35,10.30.40.35,449,W
MA2 > CAGE 15A,MA2-DATALAKE-KAFKA15.PULSE.PROD,Dell Inc.,PowerEdge R750,A-09,4,10.31.40.36,10.30.40.36,450,W
MA2 > CAGE 15A,MA2-DATALAKE-MASTER01.PULSE.PROD,Dell Inc.,PowerEdge R640,A-01,21,10.31.48.21,10.30.48.21,304,W
MA2 > CAGE 15A,MA2-DATALAKE-MASTER02.PULSE.PROD,Dell Inc.,PowerEdge R640,A-03,21,10.31.48.22,10.30.48.22,299,W
MA2 > CAGE 15A,MA2-DATALAKE-STORAGENODE01.PULSE.PROD,Dell,PowerEdge R740xd,A-01,8,10.31.48.23,10.30.48.23,338,W
MA2 > CAGE 15A,MA2-DATALAKE-STORAGENODE02.PULSE.PROD,Dell,PowerEdge R740xd,A-02,8,10.31.48.24,10.30.48.24,349,W
MA2 > CAGE 15A,MA2-DATALAKE-STORAGENODE03.PULSE.PROD,Dell,PowerEdge R740xd,A-03,8,10.31.48.25,10.30.48.25,348,W
MA2 > CAGE 15A,MA2-DATALAKE-STORAGENODE04.PULSE.PROD,Dell,PowerEdge R740xd,A-05,8,10.31.48.26,10.30.48.26,341,W
MA2 > CAGE 15A,MA2-DATALAKE-STORAGENODE05.PULSE.PROD,Dell,PowerEdge R740xd,A-07,8,10.31.48.27,10.30.48.27,358,W
MA2 > CAGE 15A,MA2-DATALAKE-STORAGENODE06.PULSE.PROD,Dell,PowerEdge R740xd,A-09,8,10.31.48.28,10.30.48.28,354,W
MA2 > CAGE 15A,MA2-DATALAKE-STORAGENODE07.PULSE.PROD,Dell,PowerEdge R740xd,A-11,8,10.31.48.29,10.30.48.29,330,W
MA2 > CAGE 15A,MA2-DATALAKE-STORAGENODE08.PULSE.PROD,Dell,PowerEdge R740xd,A-14,8,10.31.48.30,10.30.48.30,354,W
MA2 > CAGE 15A,MA2-DATALAKE-STORAGENODE09.PULSE.PROD,Dell,PowerEdge R740xd,A-16,8,10.31.48.31,10.30.48.31,341,W
MA2 > CAGE 15A,MA2-DATALAKE-STORAGENODE10.PULSE.PROD,Dell,PowerEdge R740xd,A-18,8,10.31.48.32,10.30.48.32,349,W
MA2 > CAGE 15A,MA2-DATALAKE-TRINO-MASTER01.PULSE.PROD,Dell Inc.,PowerEdge R640,A-03,18,10.31.56.21,10.30.56.21,189,W
MA2 > CAGE 15A,MA2-DATALAKE-TRINO-WORKER01.PULSE.PROD,Dell Inc.,PowerEdge R640,A-01,16,10.31.56.22,10.30.56.22,238,W
MA2 > CAGE 15A,MA2-DATALAKE-TRINO-WORKER02.PULSE.PROD,Dell Inc.,PowerEdge R640,A-02,22,10.31.56.23,10.30.56.23,239,W
MA2 > CAGE 15A,MA2-DATALAKE-TRINO-WORKER03.PULSE.PROD,Dell Inc.,PowerEdge R640,A-03,16,10.31.56.24,10.30.56.24,244,W
MA2 > CAGE 15A,MA2-DATALAKE-TRINO-WORKER04.PULSE.PROD,Dell Inc.,PowerEdge R640,A-05,16,10.31.56.25,10.30.56.25,237,W
MA2 > CAGE 15A,MA2-DATALAKE-TRINO-WORKER05.PULSE.PROD,Dell Inc.,PowerEdge R640,A-07,16,10.31.56.26,10.30.56.26,233,W
MA2 > CAGE 15A,MA2-DATALAKE-TRINO-WORKER06.PULSE.PROD,Dell Inc.,PowerEdge R640,A-09,16,10.31.56.27,10.30.56.27,236,W
